,Survey Year,Gender,Average Head Coach Salary,Survey Year,Gender,Average Recruiting Expenses,Survey Year,Gender,Average Athletic Aid
99,2020,Men's Team Head Coach Average Salary,1688018,2020,Men's Team Recruiting Expenses,798850,2020,Men's Team Athletic Student Aid,5948505
100,2020,Men's Team Head Coach Average Salary,1142704,2020,Men's Team Recruiting Expenses,567458,2020,Men's Team Athletic Student Aid,6626884
101,2020,Men's Team Head Coach Average Salary,1001845,2020,Men's Team Recruiting Expenses,58630,2020,Men's Team Athletic Student Aid,6749488
102,2020,Men's Team Head Coach Average Salary,2624329,2020,Men's Team Recruiting Expenses,307981,2020,Men's Team Athletic Student Aid,6694373
103,2020,Men's Team Head Coach Average Salary,1807409,2020,Men's Team Recruiting Expenses,289357,2020,Men's Team Athletic Student Aid,7148104
104,2020,Men's Team Head Coach Average Salary,971111,2020,Men's Team Recruiting Expenses,254881,2020,Men's Team Athletic Student Aid,7824143
105,2020,Men's Team Head Coach Average Salary,899653,2020,Men's Team Recruiting Expenses,333514,2020,Men's Team Athletic Student Aid,10125849
106,2020,Men's Team Head Coach Average Salary,1075821,2020,Men's Team Recruiting Expenses,155359,2020,Men's Team Athletic Student Aid,12086262
107,2020,Men's Team Head Coach Average Salary,996026,2020,Men's Team Recruiting Expenses,723076,2020,Men's Team Athletic Student Aid,15443985
108,2020,Men's Team Head Coach Average Salary,706743,2020,Men's Team Recruiting Expenses,326148,2020,Men's Team Athletic Student Aid,8544562
109,2020,Men's Team Head Coach Average Salary,1472114,2020,Men's Team Recruiting Expenses,231530,2020,Men's Team Athletic Student Aid,5809126
110,2020,Men's Team Head Coach Average Salary,1141597,2020,Men's Team Recruiting Expenses,236623,2020,Men's Team Athletic Student Aid,6664296
111,2020,Men's Team Head Coach Average Salary,1231732,2020,Men's Team Recruiting Expenses,321688,2020,Men's Team Athletic Student Aid,6951441
112,2020,Men's Team Head Coach Average Salary,644894,2020,Men's Team Recruiting Expenses,382036,2020,Men's Team Athletic Student Aid,10450261
113,2020,Men's Team Head Coach Average Salary,1116464,2020,Men's Team Recruiting Expenses,829810,2020,Men's Team Athletic Student Aid,15197965
114,2020,Men's Team Head Coach Average Salary,1454281,2020,Men's Team Recruiting Expenses,275338,2020,Men's Team Athletic Student Aid,8848062
115,2020,Men's Team Head Coach Average Salary,1183777,2020,Men's Team Recruiting Expenses,547779,2020,Men's Team Athletic Student Aid,7275874
116,2020,Men's Team Head Coach Average Salary,1617870,2020,Men's Team Recruiting Expenses,196531,2020,Men's Team Athletic Student Aid,9694570
117,2020,Men's Team Head Coach Average Salary,674279,2020,Men's Team Recruiting Expenses,335465,2020,Men's Team Athletic Student Aid,6840986
118,2020,Men's Team Head Coach Average Salary,986679,2020,Men's Team Recruiting Expenses,531823,2020,Men's Team Athletic Student Aid,11566737
